strain	species
ECA2151	c_elegans
ECA882	c_elegans
ECA928	c_elegans
JR4305	c_elegans
JU1581	c_elegans
JU3282	c_elegans
JU360	c_elegans
N2	c_elegans
NIC1107	c_elegans
NIC1792	c_elegans
NIC1832	c_elegans
NIC2021	c_elegans
NIC2076	c_elegans
WN2002	c_elegans
XZ1734	c_elegans
QG4097	c_briggsae
QG4233	c_briggsae
NIC828	c_briggsae
NIC1052	c_briggsae
ECA2115	c_briggsae
VT847	c_briggsae
EG6271	c_briggsae
ECA2299	c_briggsae
NIC1645	c_briggsae
JU1346	c_briggsae
PE887	c_briggsae
AF16	c_briggsae
BRC20094	c_briggsae
BRC20232	c_briggsae
BRC20246	c_briggsae
ECA1657	c_briggsae
ECA2425	c_briggsae
ECA2667	c_briggsae
ECA276	c_briggsae
EG6260	c_briggsae
EG6267	c_briggsae
JU1348	c_briggsae
JU2472	c_briggsae
JU3416	c_briggsae
NIC1667	c_briggsae
NIC532	c_briggsae
NIC827	c_briggsae
QG2908	c_briggsae
QG4070	c_briggsae
QX1410	c_briggsae
VX0034	c_briggsae
XZ1731	c_briggsae
BRC20092	c_briggsae
XZ1213	c_briggsae
ECA163	c_briggsae
QR25	c_briggsae
BRC20238	c_briggsae
NIC248	c_briggsae
NIC58	c_tropicalis
BRC20391	c_tropicalis
NIC936	c_tropicalis
NIC957	c_tropicalis
NIC1563	c_tropicalis
NIC389	c_tropicalis
NIC993	c_tropicalis